"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"31","Piptoporus betulinus","2016-02-06 00:00:00 -0500","On birch"," Mer Bleue Sector, Ottawa",45.408912,-75.547437,NA,"birch polypore","http://inaturalist.ca/observations/2650972","https://static.inaturalist.org/photos/2977483/medium.JPG?1454802012","swampy",2650972,"Birch Polypore","Fungi",83490,"false",2,0,"2016-02-06","2016-02-06","","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,109854,"2016-02-06 23:39:31 UTC","2017-06-13 10:33:50 UTC","research","CC-BY-NC",NA,NA,"false"
"32","Fomes fomentarius","2016-02-05 00:00:00 -0500","In northern areas, it is most common on birch.","Wild Bird Care Centre Trails, West Ottawa",45.292223,-75.814086,NA,"Hoof Fungus","http://inaturalist.ca/observations/2647396","https://static.inaturalist.org/photos/2972763/medium.JPG?1454705715","swampy",2647396,"Hoof Fungus","Fungi",127510,"false",2,0,"2016-02-05","2016-02-05","","Eastern Time (US & Canada)",46,"","",NA,"false",NA,NA,NA,109854,"2016-02-05 20:54:17 UTC","2017-08-04 01:01:37 UTC","research","CC-BY-NC",NA,NA,"false"
"33","Ganoderma","2016-02-03 12:41:27 -0400","","New Brunswick, CA",45.4267954306,-64.825858998,NA,"artist's bracket and allies","http://inaturalist.ca/observations/2642380","https://static.inaturalist.org/photos/2964786/medium.jpg?1454536278","neilvinson",2642380,"Ganoderma megaloma","Fungi",48475,"false",3,0,"Wed Feb 03 2016 12:41:27 GMT-0400 (AST)","2016-02-03","2016-02-03 16:41:27 UTC","Atlantic Time (Canada)",5,"Fundy National Park, Alma, NB, CA","obscured",NA,"true",NA,NA,NA,106673,"2016-02-03 21:50:26 UTC","2016-11-21 17:00:31 UTC","needs_id","CC-BY-NC",NA,3,"false"
"34","Cryptodiaporthe corni","2016-02-03 12:24:51 -0400","Golden canker, a common affliction of C. alternifolia","Fundy National Park, Alma, NB, CA",45.5909312983,-64.9619321433,NA,"dogwood golden canker","http://inaturalist.ca/observations/2642377","https://static.inaturalist.org/photos/2964782/medium.jpg?1454536250","neilvinson",2642377,"Cryptodiaporthe corni","Fungi",202766,"false",1,0,"Wed Feb 03 2016 12:24:51 GMT-0400 (AST)","2016-02-03","2016-02-03 16:24:51 UTC","Atlantic Time (Canada)",5,"","",NA,"false",NA,NA,NA,106673,"2016-02-03 21:50:14 UTC","2016-11-18 14:06:28 UTC","research","CC-BY-NC",NA,3,"false"
"35","Lobaria quercizans","2016-02-01 00:00:00 -0400","On Red Maple.","Pt Wolfe Rd, Fundy National Park",45.592271,-64.952306,NA,"Smooth Lungwort","http://www.inaturalist.org/observations/2641328","https://static.inaturalist.org/photos/2963402/medium.jpg?1454493402","nbdragonflyguy",2641328,"Smooth Lungwort","Fungi",182636,"false",1,0,"2016-02-01","2016-02-01","","Atlantic Time (Canada)",25,"","",NA,"false",NA,NA,NA,107551,"2016-02-03 09:56:22 UTC","2017-12-01 10:22:21 UTC","research","CC-BY-NC-SA",NA,NA,"false"
"36","Cladonia cristatella","2016-03-26 16:42:00 -0300","","Guysborough County, NS, Canada",45.4536314052,-61.4332748104,NA,"British soldier lichen","https://www.inaturalist.org/observations/19504279","https://static.inaturalist.org/photos/30014013/medium.jpeg?1546916788","ptrprkr22",19504279,"British soldier lichen","Fungi",119669,"false",1,0,"2016/03/26 4:42 PM ADT","2016-03-26","2016-03-26 19:42:00 UTC","Atlantic Time (Canada)",8,"","",NA,"false","","",NA,757299,"2019-01-08 03:07:45 UTC","2019-01-12 19:30:18 UTC","research","CC-BY-NC",NA,NA,"false"
"37","Dibaeis arcuata","2016-03-26 16:42:00 -0300","","Guysborough County, NS, Canada",45.4536224422,-61.4333126634,NA,"","https://www.inaturalist.org/observations/19504166","https://static.inaturalist.org/photos/30013825/medium.jpeg?1546916494","ptrprkr22",19504166,"Dibaeis arcuata","Fungi",355962,"false",1,0,"2016/03/26 4:42 PM ADT","2016-03-26","2016-03-26 19:42:00 UTC","Atlantic Time (Canada)",8,"","",NA,"false","","",NA,757299,"2019-01-08 03:02:39 UTC","2019-02-25 19:32:29 UTC","research","CC-BY-NC",NA,NA,"false"
"38","Fomes fomentarius","2016-03-26 16:55:00 -0300","","Guysborough County, NS, Canada",45.4540410624,-61.4314475569,NA,"Hoof Fungus","https://www.inaturalist.org/observations/19503707","https://static.inaturalist.org/photos/30012880/medium.jpg?1546914640","ptrprkr22",19503707,"Hoof Fungus","Fungi",127510,"false",1,0,"2016/03/26 4:55 PM ADT","2016-03-26","2016-03-26 19:55:00 UTC","Atlantic Time (Canada)",61,"","",NA,"false","","",NA,757299,"2019-01-08 02:38:20 UTC","2019-01-18 16:53:13 UTC","research","CC-BY-NC",NA,NA,"false"
"39","Xanthoparmelia","2016-03-26 16:38:00 -0300","","Guysborough County, NS, Canada",45.4536443371,-61.4332904396,NA,"rock shield lichens","https://www.inaturalist.org/observations/19503391","https://static.inaturalist.org/photos/30012550/medium.jpeg?1546914152","ptrprkr22",19503391,"Rock Shields","Fungi",60724,"false",0,0,"2016/03/26 4:38 PM ADT","2016-03-26","2016-03-26 19:38:00 UTC","Atlantic Time (Canada)",15,"","",NA,"false","","",NA,757299,"2019-01-08 02:26:05 UTC","2019-01-08 02:26:06 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"40","Usnea hirta","2016-03-26 16:22:00 -0300","","Guysborough County, NS, Canada",45.4535518254,-61.4330395596,NA,"Bristly Beard Lichen","https://www.inaturalist.org/observations/19503258","https://static.inaturalist.org/photos/30012299/medium.jpeg?1546913810","ptrprkr22",19503258,"Bristly Beard Lichen","Fungi",182679,"false",0,0,"2016/03/26 4:22 PM ADT","2016-03-26","2016-03-26 19:22:00 UTC","Atlantic Time (Canada)",15,"","",NA,"false","","",NA,757299,"2019-01-08 02:19:45 UTC","2019-01-08 02:19:45 UTC","needs_id","CC-BY-NC",NA,NA,"false"
