"","Geo_Code","birds","fungi","insects","mammals","plants","sum"
"78",2479,1.72413793103448,0.862068965517241,47.4137931034483,9.48275862068965,40.5172413793103,116
"79",2480,4.23497267759563,2.45901639344262,11.6120218579235,5.46448087431694,76.2295081967213,732
"80",2481,8.55524079320113,2.37960339943343,20.1133144475921,3.05949008498584,65.8923512747875,1765
"81",2482,8.85159591971043,2.3033892727871,35.5709114840408,3.52089503126028,49.7532082922014,3039
"82",2483,6.40138408304498,1.03806228373702,60.5536332179931,3.28719723183391,28.719723183391,578
"83",2484,5.0251256281407,0.50251256281407,42.4623115577889,2.51256281407035,49.4974874371859,398
"84",2485,1.61290322580645,1.61290322580645,91.9354838709677,1.61290322580645,3.2258064516129,62
"85",2486,20,20,20,20,20,5
"86",2487,20,20,20,20,20,5
"87",2488,16.6666666666667,16.6666666666667,33.3333333333333,16.6666666666667,16.6666666666667,6
"88",2489,9,1,13,8,69,100
"89",2490,25.7142857142857,2.85714285714286,14.2857142857143,2.85714285714286,54.2857142857143,35
"90",2491,10,2,56,16,16,50
"91",2492,1.36986301369863,5.47945205479452,16.4383561643836,1.36986301369863,75.3424657534247,73
"92",2493,20.2380952380952,1.19047619047619,15.4761904761905,9.52380952380952,53.5714285714286,84
"93",2494,8.33333333333333,0.520833333333333,32.2916666666667,9.375,49.4791666666667,192
"94",2495,27.0661157024793,0.206611570247934,39.2561983471074,13.8429752066116,19.6280991735537,484
"95",2496,16.6666666666667,5.55555555555556,5.55555555555556,16.6666666666667,55.5555555555556,18
"96",2497,25,4.16666666666667,20.8333333333333,12.5,37.5,24
"97",2498,8.49056603773585,0.943396226415094,32.0754716981132,2.83018867924528,55.6603773584906,106
"98",2499,10.1361573373676,3.32829046898638,69.1376701966717,3.02571860816944,14.3721633888048,661
