"","Geo_Code","obs_totalpop","mean_obs_per_observer","observer_totalpop","taxa","totalpop_rank","totalpop_rank2","totalpop_rank3","Rank"
"223",2422,0.000847341806751401,2.06666666666667,0.000410004100041,"mammals",16,23,14,53
"763",2477,0.000452830188679245,1.28571428571429,0.000352201257861635,"mammals",19,59,15,93
"614",2462,0.000864998455359901,2.625,0.000329523221089486,"mammals",14,13,16,43
"753",2476,0.000413880929640242,1.3,0.000318369945877109,"mammals",20,57,17,94
"833",2484,0.000707463742483198,2.5,0.000282985496993279,"mammals",17,14,18,49
"415",2442,0.000309970724987085,1.125,0.000275529533321853,"mammals",26,64,19,109
"983",2499,0.000471809389006841,1.81818181818182,0.000259495163953763,"mammals",18,28,20,66
"143",2414,0.000390720390720391,1.6,0.000244200244200244,"mammals",21,39,21,81
"783",2479,0.000322486074464966,1.375,0.000234535326883612,"mammals",24,52,22,98
"903",2491,0.000258564964447317,1.14285714285714,0.000226244343891403,"mammals",30,61,23,114
"173",2417,0.000387919091160986,1.75,0.000221668052091992,"mammals",23,30,24,77
"673",2468,0.000273384104667057,1.4,0.000195274360476469,"mammals",27,50,25,102
"563",2457,0.000322285614738034,1.68181818181818,0.000191629284438831,"mammals",25,34,26,85
"403",2441,0.0012924071082391,7,0.000184629586891299,"mammals",7,2,27,36
"973",2498,0.000260078023407022,1.5,0.000173385348938015,"mammals",29,41,28,98
"433",2444,0.000215691561067673,1.33333333333333,0.000161768670800755,"mammals",33,53,29,115
"203",2420,0.000152788388082506,1,0.000152788388082506,"mammals",46,66,30,142
